Lap	RaceNumber	Time	Gap
10	26	1'31.759	2.209
10	4	1'32.706	10.798
10	41	1'32.628	11.182
10	46	1'32.506	11.366
10	44	1'33.286	12.004
10	38	1'32.566	12.502
10	9	1'33.113	14.551
10	51	1'33.376	17.424
10	68	1'33.109	18.396
10	25	1'33.143	20.460
10	6	1'33.583	20.466
10	35	1'33.139	20.558
10	19	1'34.090	21.305
10	69	1'33.678	21.596
10	76	1'33.606	23.232
10	43	1'33.508	23.815
10	45	1'33.503	24.586
10	8	1'33.424	24.856
10	50	1'33.846	25.968
10	63	1'34.505	28.480
10	24	1'34.068	29.167
10	13	1'33.980	29.378
10	23	1'35.017	35.969

11	99	1'31.853
11	93	1'31.716	0.533
11	26	1'31.478	1.834
11	4	1'32.480	11.425
11	41	1'32.518	11.847
11	46	1'32.455	11.968
11	44	1'32.472	12.623
11	38	1'32.592	13.241
11	9	1'33.056	15.754
11	51	1'33.240	18.811
11	68	1'33.104	19.647
11	35	1'32.931	21.636
11	25	1'33.532	22.139
11	6	1'33.986	22.599
11	19	1'33.624	23.076
11	69	1'33.551	23.294
11	76	1'33.572	24.951
11	43	1'34.011	25.973
11	45	1'33.578	26.311
11	8	1'33.580	26.583
11	50	1'33.559	27.674
11	63	1'34.448	31.075
11	24	1'33.821	31.135
11	13	1'33.929	31.454
11	23	1'35.234	39.350

12 	99	1'31.773
12	93	1'31.712	0.472
12	26	1'31.731	1.792
12	4	1'32.877	12.529
12	46	1'32.580	12.775
12	41	1'33.094	13.168
12	44	1'32.534	13.384
12	38	1'32.851	14.319
12	9	1'32.987	16.968
12	51	1'33.248	20.286
12	68	1'33.101	20.975
12	35	1'32.773	22.636
12	25	1'32.869	23.235
12	6	1'33.479	24.305
12	19	1'33.312	24.615
12	69	1'33.589	25.110
12	76	1'33.518	26.696
12	43	1'33.605	27.805
12	45	1'33.915	28.453
12	8	1'33.755	28.565
12	50	1'33.717	29.618
12	24	1'33.652	33.014
12	63	1'34.108	33.410
12	13	1'33.966	33.647
12	23	1'35.027	42.604

13	99	1'31.802
13 	93	1'31.788	0.458
13	26	1'31.776	1.766
13	46	1'32.111	13.084
13	4	1'33.069	13.796
13	41	1'32.506	13.872
13	44	1'32.574	14.156
13	38	1'32.523	15.040
13	9	1'33.000	18.166
13	51	1'33.224	21.708
13	68	1'33.239	22.412
13	35	1'32.626	23.460
13	25	1'32.826	24.259
13	6	1'33.620	26.123
13	19	1'33.524	26.337
13	69	1'33.525	26.833
13	76	1'33.440	28.334
13	43	1'33.656	29.659
13	8	1'33.095	29.858
13	45	1'34.091	30.742
13	50	1'33.842	31.658
13	24	1'33.515	34.727
13	63	1'33.620	35.228
13	13	1'33.722	35.567
13	23	1'35.005	45.807

14	99	1'31.789
14 	93	1'31.698	0.367
14	26	1'31.672	1.649
14	46	1'32.108	13.403
14	4	1'32.738	14.745
14	44	1'32.636	15.003
14	41	1'32.926	15.009
14	38	1'32.423	15.674
14	9	1'33.019	19.396
14	51	1'33.056	22.975
14	68	1'33.112	23.735
14	35	1'32.646	24.317
14	25	1'32.700	25.170
14	6	1'33.704	28.038
14	19	1'33.732	28.280
14	69	1'33.442	28.486
14	76	1'33.490	30.035
14	8	1'33.846	31.915
14	43	1'34.547	32.417
14	45	1'33.999	32.952
14	50	1'33.962	33.831
14	24	1'33.757	36.695
14	63	1'33.689	37.128
14	13	1'33.919	37.697
14	23	1'34.971	48.989

15	99	1'31.738
15 	93	1'31.733	0.362
15	26	1'31.970	1.881
15	46	1'32.184	13.849
15	4	1'32.448	15.455
15	44	1'32.454	15.719
15	41	1'32.871	16.142
15	38	1'32.338	16.274
15	9	1'33.022	20.680
15	51	1'33.085	24.322
15	35	1'32.530	25.109
15	68	1'33.505	25.502
15	25	1'32.785	26.217
15	6	1'33.517	29.817
15	19	1'33.553	30.095
15	69	1'33.685	30.433
15	76	1'33.513	31.810
15	8	1'33.370	33.547
15	43	1'33.708	34.387
15	45	1'34.109	35.323
15	50	1'33.928	36.021
15	24	1'33.535	38.492
15	63	1'33.567	38.957
15	13	1'33.871	39.830
15	23	1'34.860	52.111

16	99	1'31.705
16 	93	1'31.667	0.324
16	26	1'31.934	2.110
16	46	1'32.132	14.276
16	4	1'32.762	16.512
16	44	1'32.626	16.640
16	41	1'32.831	17.268
16	38	1'32.866	17.435
16	9	1'33.105	22.080
16	51	1'33.249	25.866
16	35	1'32.531	25.935
16	68	1'33.079	26.876
16	25	1'32.850	27.362
16	19	1'33.605	31.995
16	6	1'34.017	32.129
16	69	1'33.466	32.194
16	76	1'33.451	33.556
16	8	1'33.021	34.863
16	43	1'33.605	36.287
16	45	1'33.461	37.079
16	50	1'33.990	38.306
16	24	1'33.537	40.324
16	63	1'33.645	40.897
16	13	1'34.144	42.269
16	23	1'34.609	55.015

17	99	1'31.558
17 	93	1'31.627	0.393
17	26	1'32.084	2.636
17	46	1'32.184	14.902
17	44	1'32.712	17.794
17	4	1'32.852	17.806
17	41	1'32.749	18.459
17	38	1'32.624	18.501
17	9	1'33.146	23.668
17	35	1'32.891	27.268
17	51	1'33.165	27.473
17	68	1'33.290	28.608
17	25	1'33.020	28.824
17	19	1'33.747	34.184
17	6	1'33.785	34.356
17	69	1'33.936	34.572
17	76	1'33.754	35.752
17	8	1'33.196	36.501
17	43	1'33.518	38.247
17	45	1'33.159	38.680
17	50	1'33.947	40.695
17	24	1'33.510	42.276
17	63	1'33.595	42.934
17	13	1'34.537	45.248
17	23	1'34.629	58.086

18	99	1'31.864
18 	93	1'31.783	0.312
18	26	1'31.840	2.612
18	46	1'32.171	15.209
18	44	1'32.764	18.694
18	4	1'32.968	18.910
18	38	1'32.682	19.319
18	41	1'33.783	20.378
18	9	1'33.003	24.807
18	35	1'32.535	27.939
18	51	1'33.263	28.872
18	25	1'33.562	30.522
18	68	1'33.781	30.525
18	19	1'33.557	35.877
18	6	1'33.572	36.064
18	69	1'33.709	36.417
18	76	1'33.458	37.346
18	8	1'33.359	37.996
18	43	1'33.700	40.083
18	45	1'33.359	40.175
18	50	1'34.114	42.945
18	24	1'33.436	43.848
18	63	1'33.998	45.068
18	13	1'34.780	48.164
18	23	1'34.792	1'01.014

19	99	1'31.571
19 	93	1'31.681	0.422
19	26	1'31.806	2.847
19	46	1'32.237	15.875
19	44	1'32.492	19.615
19	4	1'32.442	19.781
19	38	1'32.477	20.225
19	41	1'32.685	21.492
19	9	1'33.268	26.504
19	35	1'32.449	28.817
19	51	1'33.408	30.709
19	25	1'33.014	31.965
19	68	1'33.944	32.898
19	19	1'33.407	37.713
19	6	1'33.573	38.066
19	69	1'33.456	38.302
19	76	1'33.422	39.197
19	8	1'33.323	39.748
19	45	1'33.170	41.774
19	43	1'33.982	42.494
19	50	1'34.185	45.559
19	24	1'33.636	45.913
19	63	1'34.158	47.655
19	13	1'34.877	51.470
